doi,title,publication_year,venue,is_open_access,llm_relevance,llm_variant,llm_approach,llm_metaheuristics,llm_is_hybrid,llm_how_solved
10.1002/net.22137,Solving vehicle routing problems with intermediate stops using VRPSolver models,2022,Networks,False,Variante de CARP,Con instalaciones intermedias (CLARPIF),Exacto,,False,"Modelos basados en grafos resueltos con branch-cut-and-price (VRPSolver), incluyendo el ARP con instalaciones intermedias."
10.1177/0734242x221104366,Sector arc routing-based spatial decision support system for waste collection in Brazil,2022,Waste Management & Research The Journal for a Sustainable Circular Economy,True,Variante de CARP,Otra variante,No especificado,,False,Sistema de soporte a decisiones basado en sector arc routing para recolección de residuos en Brasil.
10.3390/s22166077,Asymmetric Arc Routing by Coordinating a Truck and Multiple Drones,2022,Sensors,True,Variante de CARP,Otra variante,No especificado,,False,Modo de arc routing asimétrico coordinando un camión con múltiples drones para patrullaje de tráfico.
10.1145/3520304.3529057,Routing for bridge inspecting robots using a metaheuristic genetic algorithm,2022,Proceedings of the Genetic and Evolutionary Computation Conference Companion,False,Arc routing relacionado,Min-max / Balanceado,Metaheurística,Algoritmo genético,False,Algoritmo genético metaheurístico para el min-max k-Chinese Postman de inspección robótica de puentes.
10.1109/ssci51031.2022.10022069,A Meta Heuristic Genetic Algorithm for Multi-Depot Routing in Autonomous Bridge Inspection,2022,2022 IEEE Symposium Series on Computational Intelligence (SSCI),False,Arc routing relacionado,Min-max / Balanceado,Metaheurística,Algoritmo genético,False,Algoritmo genético para el min-max multi-depósito k-Chinese Postman de inspección autónoma de puentes.
10.48550/arxiv.2208.09861,"The Single Robot Line Coverage Problem: Theory, Algorithms, and Experiments",2022,arXiv (Cornell University),True,Arc routing relacionado,No es CARP (RPP/CPP/otro),Exacto,,False,Formulación ILP y algoritmos de aproximación para el line coverage de un robot (relacionado con RPP asimétrico).
10.1109/tevc.2021.3095261,Genetic Programming With Niching for Uncertain Capacitated Arc Routing Problem,2021,IEEE Transactions on Evolutionary Computation,True,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética con niching para políticas de ruteo más pequeñas y simples en UCARP.
10.1051/ro/2021034,Open Capacitated ARC routing problem by Hybridized Ant Colony Algorithm,2021,RAIRO - Operations Research,True,Variante de CARP,Abierto (OCARP),Híbrido / Matheurística,ACO,True,"Colonia de hormigas hibridada con búsqueda local (2-opt, swap, relocate) para el OCARP (lectura de medidores)."
10.1016/j.cor.2021.105377,A strategic oscillation simheuristic for the Time Capacitated Arc Routing Problem with stochastic demands,2021,Computers & Operations Research,True,Variante de CARP,Estocástico / Incierto,Híbrido / Matheurística,Simheurística; Oscilación estratégica,True,Simheurística con oscilación estratégica para el Time CARP con demandas estocásticas.
10.1109/tevc.2021.3129278,Genetic Programming With Knowledge Transfer and Guided Search for Uncertain Capacitated Arc Routing Problem,2021,IEEE Transactions on Evolutionary Computation,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética con transferencia de conocimiento y búsqueda guiada para el UCARP.
10.1109/tcyb.2020.3043265,A Route Clustering and Search Heuristic for Large-Scale Multidepot-Capacitated Arc Routing Problem,2021,IEEE Transactions on Cybernetics,False,Variante de CARP,Large-scale,Metaheurística,Búsqueda local con split de Ulusoy,False,Heurística iterativa de agrupamiento y búsqueda de rutas (RoCaSH) con split de Ulusoy y búsqueda local para LSMDCARP.
10.1109/mci.2020.3039069,Robust Optimization in Uncertain Capacitated Arc Routing Problems: Progresses and Perspectives [Review Article],2021,IEEE Computational Intelligence Magazine,True,Variante de CARP,Estocástico / Incierto,Survey / Teórico / Modelado,,False,Artículo de revisión sobre optimización robusta en el CARP con incertidumbres (UCARP).
10.1145/3449726.3459450,A hybrid local search framework for the dynamic capacitated arc routing problem,2021,Proceedings of the Genetic and Evolutionary Computation Conference Companion,False,Variante de CARP,Dinámico / Time-dependent,Metaheurística,Búsqueda local híbrida (HyLS),True,Marco de búsqueda local híbrida (HyLS) con archivo para reprogramar rápidamente el DCARP con cambios pequeños.
10.1145/3449639.3459298,Two-stage multi-objective genetic programming with archive for uncertain capacitated arc routing problem,2021,Proceedings of the Genetic and Evolutionary Computation Conference,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética multi-objetivo de dos etapas con archivo para optimizar efectividad y tamaño en UCARP.
10.1287/trsc.2020.1036,Branch-Price-and-Cut for the Soft-Clustered Capacitated Arc-Routing Problem,2021,Transportation Science,False,Variante de CARP,Otra variante,Exacto,,False,Algoritmo branch-price-and-cut (con metaheurística para el subproblema) para el soft-clustered CARP.
10.1145/3449639.3459322,A novel multi-task genetic programming approach to uncertain capacitated Arc routing problem,2021,Proceedings of the Genetic and Evolutionary Computation Conference,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética multi-tarea para compartir conocimiento entre dominios relacionados de UCARP.
10.1109/cec45853.2021.9504956,A Multi-Objective Genetic Programming Approach with Self-Adaptive α Dominance to Uncertain Capacitated Arc Routing Problem,2021,,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética multi-objetivo con α-dominancia auto-adaptativa para UCARP.
10.1109/cec45853.2021.9504817,Surrogate-Assisted Genetic Programming with Diverse Transfer for the Uncertain Capacitated Arc Routing Problem,2021,,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética asistida por surrogate con transferencia diversa (detección de duplicados) para UCARP.
10.26686/wgtn.14343905.v1,Automated heuristic design using genetic programming hyper-heuristic for uncertain capacitated arc routing problem,2021,,True,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Hiper-heurística de programación genética para diseño automático de heurísticas en UCARP.
10.1109/cec45853.2021.9504785,Look-Ahead Genetic Programming for Uncertain Capacitated Arc Routing Problem,2021,,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,"Programación genética con información look-ahead (cadenas de tareas, GPCP) para UCARP."
10.1109/ssci50451.2021.9660154,An Improved Multi-Objective Genetic Programming Hyper-Heuristic with Archive for Uncertain Capacitated Arc Routing Problem,2021,2021 IEEE Symposium Series on Computational Intelligence (SSCI),False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Hiper-heurística de programación genética multi-objetivo mejorada con archivo para UCARP.
10.26686/wgtn.14344067.v1,Memetic algorithm with route decomposing for periodic capacitated arc routing problem,2021,,True,Variante de CARP,Periódico (PCARP),Metaheurística,Algoritmo memético,True,Algoritmo memético con descomposición de rutas para el PCARP (minimiza número de vehículos y costo).
10.26686/wgtn.14344067,Memetic algorithm with route decomposing for periodic capacitated arc routing problem,2021,,True,Variante de CARP,Periódico (PCARP),Metaheurística,Algoritmo memético,True,Algoritmo memético con descomposición de rutas para el PCARP (minimiza número de vehículos y costo).
10.1155/2021/9665340,Dynamic Capacitated Arc Routing Problem in E-Bike Sharing System: A Monte Carlo Tree Search Approach,2021,Journal of Advanced Transportation,True,Variante de CARP,Dinámico / Time-dependent,Híbrido / Matheurística,Monte Carlo Tree Search,True,"Marco bi-nivel 'particiona primero, rutea después' con búsqueda de árbol Monte Carlo para el DCARP en sistemas de e-bikes."
10.1504/ijor.2021.10035821,Hybridized Ant Colony Optimization for the Multi-depot Multi-compartment capacitated arc routing problem,2021,International Journal of Operational Research,False,Variante de CARP,Multi-depósito,Híbrido / Matheurística,ACO,True,Colonia de hormigas hibridada para el CARP multi-depósito multi-compartimento.
10.26686/wgtn.14343905,Automated heuristic design using genetic programming hyper-heuristic for uncertain capacitated arc routing problem,2021,,True,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Hiper-heurística de programación genética para diseño automático de heurísticas en UCARP.
10.1109/icuas51884.2021.9476674,Deployment Optimization of a Fleet of Drones for Routine Inspection of Networks of Linear Infrastructures,2021,,True,Arc routing relacionado,Otra variante,No especificado,,False,Optimización bi-nivel del despliegue de una flota de drones para inspección de infraestructuras lineales (multi-objetivo).
10.1145/3449639.3459268,MA-ABC,2021,Proceedings of the Genetic and Evolutionary Computation Conference,False,Variante de CARP,Min-max / Balanceado,Metaheurística,Algoritmo memético; Artificial Bee Colony (ABC),True,Algoritmo memético (MA-ABC) para CARP con rutas balanceadas y visualmente atractivas.
10.46300/9106.2021.15.114,A Multi Logistics Network Optimization Model of Power System based on Stochastic Demand and Inventory Decision,2021,International Journal of Circuits Systems and Signal Processing,True,Variante de CARP,Estocástico / Incierto,Metaheurística,ACO,False,Colonia de hormigas mejorada para un CARP de doble capa con demanda estocástica en logística de paquetería.
10.13031/aim.202100426,A high-level task planning of autonomous robots carrying multiple herbicides and treating specific weed types,2021,"2021 ASABE Annual International Virtual Meeting, July 12-16, 2021",False,Variante de CARP,Con instalaciones intermedias (CLARPIF),No especificado,,False,"Planificación de robots autónomos con múltiples herbicidas y viajes de reabastecimiento, formulada como extensión del CARP."
10.1287/trsc.2020.1035,Arc Routing with Time-Dependent Travel Times and Paths,2021,Transportation Science,True,Variante de CARP,Dinámico / Time-dependent,No especificado,,False,Define el TDCARP con funciones de velocidad a nivel de red y algoritmos de preprocesamiento (método no detallado en el abstract).
10.1109/mci.2020.3039020,CIM Editorial Board,2021,IEEE Computational Intelligence Magazine,True,No relevante,No es CARP (RPP/CPP/otro),Survey / Teórico / Modelado,,False,"Nota del consejo editorial de la revista, sin contenido técnico."
10.1016/j.ejor.2021.10.047,The min-max close-enough arc routing problem,2021,European Journal of Operational Research,True,Variante de CARP,Min-max / Balanceado,Exacto,,False,Branch-and-cut y branch-and-price (con heurística para cotas superiores) para el min-max close-enough arc routing.
10.1016/j.cor.2021.105392,A scatter search algorithm for time-dependent prize-collecting arc routing problems,2021,Computers & Operations Research,True,Variante de CARP,Prize-collecting / Profitable,Metaheurística,Scatter search,False,Scatter search (y heurísticas deterministas) para el time-dependent prize-collecting arc routing (TD-PARP).
10.22075/ijnaa.2019.16392.1868,A robust optimization approach for a multi-period location-arc routing problem with time windows: A case study of a bank,2021,International journal of nonlinear analysis and applications,False,Variante de CARP,Con ventanas de tiempo (CARPTW),Exacto,,False,"Modelo de optimización robusta (programación no lineal mixta, CPLEX) para el LARP multiperiodo con ventanas de tiempo (caso bancario)."
10.3390/app11177950,Fuzzy Simheuristics for Optimizing Transportation Systems: Dealing with Stochastic and Fuzzy Uncertainty,2021,Applied Sciences,True,Arc routing relacionado,Estocástico / Incierto,Híbrido / Matheurística,Simheurística,True,"Simheurística difusa que combina simulación, metaheurísticas y lógica difusa para VRP/ARP/TOP con incertidumbre estocástica y difusa."
10.1002/net.22033,"On matchings, <i>T</i>‐joins, and arc routing in road networks",2021,Networks,True,Arc routing relacionado,CARP clásico,Exacto,,False,Matchings y T-joins para cotas inferiores en ARP explotando la estructura de redes viales reales.
,Decompositions of directed and undirected graphs,2021,Digital Repository (National Repository of Grey Literature),False,Arc routing relacionado,Otra variante,Exacto,,False,Modelo formal y problemas de ruteo por arcos en árboles (minimización de injusticia) para mantenimiento invernal.
10.1002/net.21990,Effects of update frequencies in a dynamic capacitated arc routing problem,2020,Networks,False,Variante de CARP,Dinámico / Time-dependent,Metaheurística,Búsqueda tabú,False,Análisis del efecto de la frecuencia de actualización con búsqueda tabú en el CARP dinámico.
10.1109/cec48606.2020.9185890,A Multi-Objective Genetic Programming Hyper-Heuristic Approach to Uncertain Capacitated Arc Routing Problems,2020,,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Hiper-heurística de programación genética multi-objetivo para optimizar costo y tamaño en UCARP.
10.1109/tits.2020.3029055,Split-Delivery Capacitated Arc-Routing Problem With Time Windows,2020,IEEE Transactions on Intelligent Transportation Systems,False,Variante de CARP,Split-delivery,Híbrido / Matheurística,Búsqueda tabú,True,"Búsqueda tabú que combina programación dinámica, búsqueda de vecindario y perturbación para el split-delivery CARP con ventanas de tiempo."
10.1109/cec48606.2020.9185714,Genetic Programming Hyper-Heuristics with Probabilistic Prototype Tree Knowledge Transfer for Uncertain Capacitated Arc Routing Problems,2020,,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética con transferencia de conocimiento por árbol prototipo probabilístico para UCARP.
10.5121/ijaia.2020.11105,Hybrid ANT Colony Algorithm for the Multi-depot Periodic Open Capacitated Arc Routing Problem,2020,International Journal of Artificial Intelligence & Applications,True,Variante de CARP,Multi-depósito,Híbrido / Matheurística,ACO; Recocido simulado,True,Colonia de hormigas seguida de recocido simulado (con heurística de inserción) para el MDPOCARP.
10.1109/ssci47803.2020.9308501,Diversity-driven Knowledge Transfer for GPHH to Solve Uncertain Capacitated Arc Routing Problem,2020,,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética con transferencia de conocimiento orientada a la diversidad para UCARP.
10.1109/ssci47803.2020.9308588,Towards Interpretable Routing Policy: A Two Stage Multi-Objective Genetic Programming Approach with Feature Selection for Uncertain Capacitated Arc Routing Problem,2020,,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética multi-objetivo de dos etapas con selección de características para políticas interpretables en UCARP.
10.1109/ssci47803.2020.9308398,A GPHH with Surrogate-assisted Knowledge Transfer for Uncertain Capacitated Arc Routing Problem,2020,,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética con transferencia de conocimiento asistida por surrogate para UCARP.
10.1109/tla.2020.9082729,A Relax-and-Fix Decomposition Strategy Based on Adjacent Nodes Applied to the Periodic Capacitated Arc Routing Problem (PCARP),2020,IEEE Latin America Transactions,False,Variante de CARP,Periódico (PCARP),Híbrido / Matheurística,,True,Heurística relax-and-fix (con descomposición por nodos adyacentes) sobre el modelo del PCARP.
10.1051/matecconf/202030801002,Improved Memetic Algorithm for Multi-depot Multi-objective Capacitated Arc Routing Problem,2020,MATEC Web of Conferences,True,Variante de CARP,Multi-depósito,Metaheurística,Algoritmo memético; MAENS,True,Algoritmo memético mejorado (IMA) sobre D-MAENS para el CARP multi-depósito multi-objetivo.
10.3934/mbe.2021009,A vulnerability-based vehicle routing approach for solving capacitated arc routing problem in urban snow plowing operations,2020,Mathematical Biosciences & Engineering,True,Variante de CARP,CARP clásico,Heurística constructiva,,False,Heurísticas paralelas basadas en vulnerabilidad con prioridades de servicio para el CARP de quitanieves urbano.
10.1109/cec48606.2020.9185627,Online Parameter Tuned SAHiD Algorithm for Capacitated Arc Routing Problems,2020,,False,CARP núcleo,CARP clásico,Metaheurística,SAHiD (descomposición jerárquica),False,Algoritmo SAHiD con ajuste automático de parámetros en línea para CARP.
10.5281/zenodo.3706525,HYBRID ANT COLONY ALGORITHM FOR THE MULTI-DEPOT PERIODIC OPEN CAPACITATED ARC ROUTING PROBLEM,2020,Zenodo (CERN European Organization for Nuclear Research),True,Variante de CARP,Multi-depósito,Híbrido / Matheurística,ACO; Recocido simulado,True,Colonia de hormigas seguida de recocido simulado (con heurística de inserción) para el MDPOCARP.
10.3233/aic-201581,Agriculture fleet vehicle routing: A decentralised and dynamic problem,2020,AI Communications,True,No relevante,No es CARP (RPP/CPP/otro),No especificado,,False,"Coordinación descentralizada y dinámica de flotas de robots agrícolas (ruteo de vehículos, no arc routing)."
10.1080/24725854.2020.1831713,Snow plow route optimization: A constraint programming approach,2020,IISE Transactions,True,Variante de CARP,CARP clásico,Exacto,,False,Formulación de programación por restricciones (CP) para el snow plow routing modelado como CARP.
10.1109/ssci47803.2020.9308250,D-MAENS2: A Self-adaptive D-MAENS Algorithm with Better Decision Diversity,2020,,False,Variante de CARP,Multi-objetivo,Metaheurística,MAENS (memético),True,Algoritmo memético D-MAENS2 auto-adaptativo con mayor diversidad de decisiones para CARP multi-objetivo (costo y makespan).
10.1109/vtc2020-fall49728.2020.9348713,Online Re-routing for Vehicle Breakdown in Residential Waste Collection,2020,,False,Variante de CARP,Dinámico / Time-dependent,Heurística constructiva,,False,"Algoritmo PROBE para re-rutear dinámicamente los vehículos ante una avería, minimizando el makespan."
10.1051/e3sconf/202021103021,Optimization of solid waste collection circuits,2020,E3S Web of Conferences,True,Variante de CARP,Periódico (PCARP),No especificado,,False,Modela la recolección de residuos sólidos como PCARP (minimiza vehículos y costo); define el problema.
10.1002/net.21965,"Arc routing problems: A review of the past, present, and future",2020,Networks,True,Arc routing relacionado,Otra variante,Survey / Teórico / Modelado,,False,"Artículo de revisión sobre el pasado, presente y futuro de los problemas de arc routing."
10.1109/tits.2020.2973806,Planning of Garbage Collection Service: An Arc-Routing Problem With Time-Dependent Penalty Cost,2020,IEEE Transactions on Intelligent Transportation Systems,False,Variante de CARP,Dinámico / Time-dependent,Híbrido / Matheurística,,True,Modelo MILP con programación dinámica y búsqueda heurística inteligente (seis operadores) para el ARP con penalización dependiente del tiempo.
,A ROBUST OPTIMIZATION MODEL FOR A LOCATION-ARC ROUTING PROBLEM WITH DEMAND UNCERTAINTY,2020,,False,Variante de CARP,Estocástico / Incierto,Exacto,,False,Modelo de optimización robusta (Bertsimas-Sim) para el location-arc routing con demanda incierta.
10.5815/ijmsc.2020.02.03,A Proposed Linear Programming Based Algorithm to Solve Arc Routing Problems,2020,International Journal of Mathematical Sciences and Computing,True,Arc routing relacionado,Otra variante,Exacto,,False,Algoritmo basado en programación lineal para minimizar el costo total en arc routing.
10.22034/ijsom.2021.1.1,Robust Bi-Objective Location-Arc Routing Problem with Time Windows: A Case Study of an Iranian Bank,2020,DOAJ (DOAJ: Directory of Open Access Journals),False,Variante de CARP,Con ventanas de tiempo (CARPTW),Exacto,,False,Modelo lineal bi-objetivo robusto para el location-arc routing con ventanas de tiempo bajo incertidumbre (caso bancario).
10.1002/net.21991,The parking warden tour problem,2020,Networks,False,Variante de CARP,Prize-collecting / Profitable,Híbrido / Matheurística,,True,Formulaciones MILP y una matheurística con procedimiento de cotas para el parking warden tour problem.
10.1051/e3sconf/202015002016,Design of a computer tool for the optimization of solid waste collection circuits,2020,E3S Web of Conferences,True,Variante de CARP,CARP clásico,Survey / Teórico / Modelado,,False,Resumen y comparación de métodos para la recolección de residuos (CARP) y diseño de una herramienta.
10.48550/arxiv.2001.10828,A New Arc-Routing Algorithm Applied to Winter Road Maintenance,2020,arXiv (Cornell University),True,Variante de CARP,Large-scale,Heurística constructiva,,False,Heurística basada en bin-packing (con cotas por ILP y lazy constraints) para arc routing a gran escala de mantenimiento invernal.
10.1177/0734242x19865782,A hybrid augmented ant colony optimization for the multi-trip capacitated arc routing problem under fuzzy demands for urban solid waste management,2019,Waste Management & Research The Journal for a Sustainable Circular Economy,True,Variante de CARP,Estocástico / Incierto,Híbrido / Matheurística,ACO,True,Colonia de hormigas aumentada híbrida (max-min) con modelo chance-constrained difuso para el CARP multi-viaje con demandas difusas.
10.1162/evco_a_00256,A Predictive-Reactive Approach with Genetic Programming and Cooperative Coevolution for the Uncertain Capacitated Arc Routing Problem,2019,Evolutionary Computation,True,Variante de CARP,Estocástico / Incierto,Híbrido / Matheurística,Programación genética (hiper-heurística); Coevolución cooperativa,True,Enfoque predictivo-reactivo con programación genética y coevolución cooperativa para UCARP.
10.1145/3321707.3321797,Novel ensemble genetic programming hyper-heuristics for uncertain capacitated arc routing problem,2019,Proceedings of the Genetic and Evolutionary Computation Conference,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Hiper-heurística GP de ensamble (políticas más simples e interpretables) para UCARP.
10.1177/0734242x19865340,A robust bi-objective multi-trip periodic capacitated arc routing problem for urban waste collection using a multi-objective invasive weed optimization,2019,Waste Management & Research The Journal for a Sustainable Circular Economy,False,Variante de CARP,Periódico (PCARP),Metaheurística,Invasive Weed Optimization (IWO),False,Optimización multi-objetivo por maleza invasiva (IWO) para el PCARP multi-viaje robusto de recolección de residuos.
10.1162/evco_a_00267,Genetic Programming Hyper-Heuristics with Vehicle Collaboration for Uncertain Capacitated Arc Routing Problems,2019,Evolutionary Computation,True,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Procedimiento de construcción con colaboración multi-vehículo y programación genética para UCARP.
10.1109/cec.2019.8789920,Transfer Learning in Genetic Programming Hyper-heuristic for Solving Uncertain Capacitated Arc Routing Problem,2019,,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Aprendizaje por transferencia en hiper-heurística de programación genética para UCARP.
10.1145/3319619.3321988,Genetic programming hyper-heuristic with knowledge transfer for uncertain capacitated arc routing problem,2019,Proceedings of the Genetic and Evolutionary Computation Conference Companion,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Métodos de transferencia de conocimiento en hiper-heurística de programación genética para UCARP.
10.1109/ssci44817.2019.9002749,Evolving Ensembles of Routing Policies using Genetic Programming for Uncertain Capacitated Arc Routing Problem,2019,,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,"Programación genética con métodos de ensamble (Bagging, Boosting, CCGP) para políticas interpretables en UCARP."
10.1155/2019/3201656,A New Ant Colony Optimization Algorithm to Solve the Periodic Capacitated Arc Routing Problem with Continuous Moves,2019,Mathematical Problems in Engineering,True,Variante de CARP,Periódico (PCARP),Metaheurística,ACO; Búsqueda tabú granular,False,Colonia de hormigas con búsqueda local y tabú granular para el PCARP con movimientos continuos (inspección ferroviaria).
10.1109/cec.2019.8790295,Learning to Solve Capacitated Arc Routing Problems by Policy Gradient,2019,,False,CARP núcleo,CARP clásico,Aprendizaje / ML,,False,Aprendizaje por refuerzo profundo (red convolucional de grafos + encoder-decoder con policy gradient) para CARP.
10.1016/j.cor.2019.07.006,A districting-based heuristic for the coordinated capacitated arc routing problem,2019,Computers & Operations Research,True,Variante de CARP,Periódico (PCARP),Heurística constructiva,,False,Heurística multi-fase basada en distritos para el CARP coordinado multiperiodo con múltiples fracciones de residuos.
10.1109/ssci44817.2019.9002912,A Two-Stage Genetic Programming Hyper-Heuristic for Uncertain Capacitated Arc Routing Problem,2019,,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética multi-objetivo de dos etapas para optimizar desempeño y tamaño en UCARP.
10.1088/1742-6596/1317/1/012011,Constructive heuristic for the mixed capacitated arc routing problem with multi capacity,2019,Journal of Physics Conference Series,True,Variante de CARP,Mixto (MCARP),Heurística constructiva,,False,Heurística constructiva por inserción para el MCARP con múltiples capacidades.
10.1109/ssci44817.2019.9002657,Adaptive-SAHiD Algorithm for Capacitated Arc Routing Problems,2019,,False,CARP núcleo,CARP clásico,Metaheurística,SAHiD (descomposición jerárquica),False,Algoritmo SAHiD con ajuste adaptativo de parámetros para CARP.
10.1109/iesm45758.2019.8948132,A case base reasoning approach for a capacitated arc routing problem,2019,,False,Variante de CARP,CARP clásico,Aprendizaje / ML,,False,Razonamiento basado en casos con auto-aprendizaje (SLA) para el CARP de monitoreo de la red vial.
,Branch-Price-and-Cut for the Soft-Clustered Capacitated Arc-Routing Problem,2019,RePEc: Research Papers in Economics,True,Variante de CARP,Otra variante,Exacto,,False,Algoritmo branch-price-and-cut (con metaheurística para el subproblema) para el soft-clustered CARP.
10.1109/tcyb.2019.2931434,The Collaborative Local Search Based on Dynamic-Constrained Decomposition With Grids for Combinatorial Multiobjective Optimization,2019,IEEE Transactions on Cybernetics,False,No relevante,No es CARP (RPP/CPP/otro),Metaheurística,MOEA/D,False,Marco de descomposición dinámica con rejillas y búsqueda local colaborativa para optimización multi-objetivo combinatoria (genérico).
10.1287/trsc.2019.0900,Comparative Analysis of Capacitated Arc Routing Formulations for Designing a New Branch-Cut-and-Price Algorithm,2019,Transportation Science,True,CARP núcleo,CARP clásico,Exacto,,False,Investigación teórica de formulaciones para diseñar un nuevo algoritmo exacto branch-cut-and-price para CARP.
10.1109/cec.2019.8789891,Automatic Parameter Tuning using Bayesian Optimization Method,2019,,False,CARP núcleo,CARP clásico,Metaheurística,,False,Optimización bayesiana para el ajuste automático de parámetros de algoritmos de CARP.
10.4324/9780429024061-4,An optimization algorithm and smart model for periodic capacitated arc routing problem considering mobile disposal sites,2019,,False,Variante de CARP,Periódico (PCARP),Metaheurística,,False,Modelo y algoritmo de optimización para el PCARP con sitios de disposición móviles (recolección de residuos).
10.35940/ijrte.b2600.098319,Predictive Analysis based Efficient Routing of Smart Garbage Bins for Effective Waste Management,2019,International Journal of Recent Technology and Engineering (IJRTE),True,Variante de CARP,Dinámico / Time-dependent,No especificado,,False,Análisis predictivo con sensores para programar rutas de recolección de contenedores inteligentes.
10.3846/transport.2019.11145,A MATHEMATICAL MODEL FOR THE CAPACITATED LOCATION-ARC ROUTING PROBLEM WITH DEADLINES AND HETEROGENEOUS FLEET,2019,Transport,True,Variante de CARP,Otra variante,Metaheurística,Algoritmo genético; Recocido simulado,False,Modelo MIP y algoritmo genético (comparado con recocido simulado) para el capacitated location-arc routing con fechas límite y flota heterogénea.
10.1109/cec.2019.8790042,An Experimental Study of Large-scale Capacitated Vehicle Routing Problems,2019,,False,No relevante,No es CARP (RPP/CPP/otro),Metaheurística,SAHiD (descomposición jerárquica),False,Aplica la descomposición jerárquica SAHiD (derivada de CARP) a instancias grandes de CVRP (ruteo por nodos).
10.1109/ssci44817.2019.9002966,Self-adaptive Decomposition and Incremental Hyperparameter Tuning Across Multiple Problems,2019,,False,CARP núcleo,Large-scale,Metaheurística,SAHiD (descomposición jerárquica),False,Descomposición jerárquica auto-adaptativa (SASAHiD) con ajuste incremental de hiperparámetros para CARP a gran escala.
,STREET WASHING TRUCK ROUTING WITH INTERMEDIATE REFILL FACILITIES,2019,International journal of industrial engineering,True,Variante de CARP,Con instalaciones intermedias (CLARPIF),Metaheurística,ACO,False,Colonia de hormigas para el ruteo de camiones de lavado de calles con puntos de recarga intermedios (SWRPIR).
,Solving arc routing problems for winter road maintenance operations,2019,Iowa State University Digital Repository (Iowa State University),True,Variante de CARP,CARP clásico,No especificado,,False,Diseño de rutas para camiones de mantenimiento vial invernal con restricciones reales y flota heterogénea (tesis).
10.1080/19427867.2019.1679405,A bi-objective transportation-location arc routing problem,2019,Transportation Letters,False,Variante de CARP,Multi-objetivo,Metaheurística,NSGA-II; Late acceptance hill-climbing,False,Modelo bi-objetivo resuelto con ε-constraint aumentado y metaheurísticas NSGA-II y late acceptance hill-climbing para el transporte-location arc routing.
10.1287/trsc.2018.0881,Exact Solution of Several Families of Location-Arc Routing Problems,2019,Transportation Science,True,Variante de CARP,Otra variante,Exacto,,False,Formulaciones exactas (solo variables binarias) para varias familias de location-arc routing que extienden el multi-depot rural postman.
10.1016/j.ifacol.2019.11.550,A Novel Arc-routing Problem of Electric Powered Street Sweepers with Time Windows and Intermediate Stops,2019,IFAC-PapersOnLine,True,Variante de CARP,Green / Eléctrico,Exacto,,False,Modelo matemático para el ruteo de barredoras eléctricas con ventanas de tiempo y paradas intermedias (minimiza energía).
10.13164/mendel.2019.1.015,Heuristics for Waste Collection Arc Routing Problem,2019,MENDEL,True,Variante de CARP,CARP clásico,Heurística constructiva,,False,Heurísticas para el arc routing de recolección de residuos con flota heterogénea.
10.3390/en12071385,Two-Layer Routing for High-Voltage Powerline Inspection by Cooperated Ground Vehicle and Drone,2019,Energies,True,Variante de CARP,Otra variante,Heurística constructiva,,False,Heurísticas constructivas (cluster-first/route-first) con búsqueda local para el two-layer point-arc routing de inspección de líneas eléctricas.
10.1080/02331934.2019.1702984,On path-bridge inequalities for the orienteering arc routing problems,2019,Optimization,False,Variante de CARP,Prize-collecting / Profitable,Exacto,,False,Desigualdades path-bridge (que inducen facetas) para el orienteering arc routing (branch-and-cut).
